Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,F435Wmag,F475Wmag,F555Wmag,F606Wmag,F625Wmag,F775Wmag,F814Wmag
0.02,0.14251,6.0,0.0900000036,1.0816895926,0.09,-1.336,3.433,3.412,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-3.85e-14,0.0,0.696,0.284,0.003596,0.0009702,0.008799,-1.0,0.02,8.109,13.413,12.763,12.105,11.327,11.022,8.729,8.343
0.02,0.14251,6.0,0.1000000015,1.1711064122,0.1,-1.247,3.4398,3.396,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-4.56e-14,0.0,0.696,0.284,0.003596,0.0009702,0.008799,-1.0,0.02,7.887,13.027,12.392,11.738,10.983,10.679,8.434,8.062
0.02,0.14251,6.0,0.1031653136,1.1970161711,0.103,-1.219,3.4419,3.39,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-4.82e-14,0.0,0.696,0.284,0.003596,0.0009702,0.008799,-1.0,0.02,7.817,12.908,12.277,11.625,10.876,10.573,8.343,7.975
0.02,0.14251,6.0,0.1200000048,1.3193154741,0.12,-1.078,3.4523,3.356,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-6.43e-14,0.0,0.696,0.284,0.003596,0.0009702,0.008799,-1.0,0.02,7.465,12.331,11.721,11.077,10.358,10.057,7.894,7.546
0.02,0.14251,6.0,0.1400000006,1.4384526719,0.14,-0.945,3.4623,3.33,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-8.33e-14,0.0,0.696,0.284,0.003596,0.0009702,0.008799,-1.0,0.02,7.132,11.809,11.217,10.581,9.888,9.589,7.484,7.151
0.02,0.14251,6.0,0.1524243802,1.5018464733,0.152,-0.872,3.468,3.317,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-9.57e-14,0.0,0.696,0.284,0.003596,0.0009702,0.008799,-1.0,0.02,6.951,11.533,10.95,10.324,9.646,9.35,7.266,6.941
0.02,0.14251,6.0,0.1614644378,1.5438940441,0.161,-0.828,3.4716,3.313,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.03e-13,0.0,0.696,0.284,0.003596,0.0009702,0.008799,-1.0,0.02,6.841,11.366,10.788,10.167,9.498,9.204,7.133,6.814
0.02,0.14251,6.0,0.1669242382,1.5678344052,0.167,-0.821,3.4731,3.326,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.02e-13,0.0,0.696,0.284,0.003596,0.0009702,0.008799,-1.0,0.02,6.822,11.318,10.741,10.12,9.456,9.163,7.1,6.783
0.02,0.14251,6.0,0.17138125,1.5866352915,0.171,-0.806,3.4749,3.33,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.04e-13,0.0,0.696,0.284,0.003596,0.0009702,0.008799,-1.0,0.02,6.786,11.253,10.678,10.058,9.399,9.106,7.052,6.738
0.02,0.14251,6.0,0.1765743494,1.6077552272,0.177,-0.781,3.4773,3.328,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.08e-13,0.0,0.696,0.284,0.003596,0.0009702,0.008799,-1.0,0.02,6.723,11.154,10.581,9.965,9.311,9.02,6.975,6.664
0.02,0.14251,6.0,0.1840992719,1.636966218,0.184,-0.738,3.4811,3.318,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.19e-13,0.0,0.696,0.284,0.003596,0.0009702,0.008799,-1.0,0.02,6.615,10.994,10.426,9.814,9.167,8.877,6.848,6.542
0.02,0.14251,6.0,0.1981275231,1.6874877478,0.198,-0.655,3.488,3.293,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.43e-13,0.0,0.696,0.284,0.003596,0.0009702,0.008799,-1.0,0.02,6.406,10.709,10.146,9.535,8.896,8.605,6.61,6.312
0.02,0.14251,6.0,0.2032556087,1.7048083293,0.203,-0.646,3.4893,3.302,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.42e-13,0.0,0.696,0.284,0.003596,0.0009702,0.008799,-1.0,0.02,6.385,10.667,10.102,9.491,8.854,8.563,6.578,6.283
0.02,0.14251,6.0,0.212640062,1.7350801262,0.213,-0.648,3.4912,3.331,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.34e-13,0.0,0.696,0.284,0.003596,0.0009702,0.008799,-1.0,0.02,6.391,10.631,10.065,9.452,8.82,8.53,6.561,6.271
0.02,0.14251,6.0,0.2219859809,1.7635490046,0.222,-0.637,3.494,3.35,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.31e-13,0.0,0.696,0.284,0.003596,0.0009702,0.008799,-1.0,0.02,6.363,10.557,9.99,9.38,8.756,8.468,6.512,6.226
0.02,0.14251,6.0,0.2312120199,1.7901641806,0.231,-0.614,3.4974,3.358,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.35e-13,0.0,0.696,0.284,0.003596,0.0009702,0.008799,-1.0,0.02,6.305,10.447,9.883,9.276,8.663,8.378,6.432,6.151
0.02,0.14251,6.0,0.2403173,1.8151107845,0.24,-0.578,3.5015,3.354,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.44e-13,0.0,0.696,0.284,0.003596,0.0009702,0.008799,-1.0,0.02,6.214,10.301,9.739,9.137,8.535,8.253,6.319,6.044
0.02,0.14251,6.0,0.2478764355,1.8349056652,0.248,-0.538,3.5053,3.343,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.58e-13,0.0,0.696,0.284,0.003596,0.0009702,0.008799,-1.0,0.02,6.114,10.151,9.593,8.993,8.401,8.121,6.201,5.93
0.02,0.14251,6.0,0.2552109063,1.8533760993,0.255,-0.517,3.5078,3.346,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.62e-13,0.0,0.696,0.284,0.003596,0.0009702,0.008799,-1.0,0.02,6.064,10.064,9.506,8.908,8.322,8.043,6.135,5.868
0.02,0.14251,6.0,0.2707603276,1.8903462815,0.271,-0.506,3.5112,3.373,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.57e-13,0.0,0.696,0.284,0.003596,0.0009702,0.008799,-1.0,0.02,6.035,9.97,9.411,8.81,8.233,7.956,6.075,5.814
0.02,0.14251,6.0,0.2864114344,1.9248708919,0.286,-0.497,3.5148,3.403,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.5e-13,0.0,0.696,0.284,0.003596,0.0009702,0.008799,-1.0,0.02,6.012,9.879,9.316,8.71,8.142,7.864,6.019,5.765
